Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15	Intensity16
189.7555	-3.25887	-3.065275	11.2691	-9.8773	4.548636	-6.835721	6.917296	-0.5077755	2.114136	-14.6604	-5.714119	-10.21904	3.887162	8.803441	-1.102494	-27.70024
190.0985	-3.524803	-1.348222	3.066531	1.031167	1.749637	-5.110789	2.679094	0.5617117	4.842175	-10.60911	-0.1284346	-11.11499	-2.533284	20.75707	1.919093	-23.48008
190.4415	-0.6910594	0.5093513	-11.56979	-4.424417	4.902835	-0.5902412	15.64765	5.180195	-1.225554	-11.78628	3.669533	-28.34423	-6.518176	6.591204	0.3352634	-20.21795
190.7845	-11.1734	8.026671	-12.40568	-18.17839	8.131173	2.310128	8.246892	-4.066247	-8.336736	-9.795413	2.41591	-25.43527	-5.37485	-0.03443202	11.17264	-18.09085
191.1275	-6.843775	7.176729	5.222768	-16.15054	20.21473	-10.1928	9.557346	-1.166321	-11.80053	-9.477827	-4.918887	-34.29412	-1.877183	-5.977451	12.9341	-27.62497
191.4705	-1.811715	3.239016	7.85482	0.2553773	12.48582	-9.433762	-7.46592	0.1862347	-7.857826	-5.485413	-9.08659	-21.99438	2.514176	3.01974	9.722938	-6.786802
191.8134	7.897669	-1.085624	4.927425	-3.578562	9.543045	-16.42403	0.376408	8.157636	-17.73705	-8.755395	1.932947	-26.01196	2.377521	3.457584	4.172937	-10.89932
192.1564	3.379451	-3.602193	-2.774782	-3.674953	-2.722345	-9.632624	0.5109349	-6.4527	-13.10525	-9.610986	-0.03153899	-7.396901	2.535069	-3.72813	6.024849	-6.426373
192.4993	2.578747	-9.277189	-6.74258	-0.5057027	0.1288982	-13.57526	5.33705	-7.379284	-19.33566	-12.37418	-5.857851	-6.915073	-3.099275	0.217675	-0.3489775	-10.55293
192.8423	-4.552114	-11.48884	-5.22006	7.545588	-1.199734	-2.539533	4.22517	-8.03839	1.722321	-2.188061	-2.469526	-0.6154456	-14.34587	1.979335	-1.803057	8.288278
193.1852	-5.171338	-15.32698	3.181618	-2.163765	4.860438	-1.017598	-1.540539	1.019028	9.189539	3.567403	4.597736	-5.791404	-15.52209	-7.143152	8.076644	-2.192273
