"Pressure, bar","Pulse energy, mJ","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
6.894736842105263,1.3000000000000003,3043070733506642.0,6674836952264496.0
7.63157894736842,1.3000000000000003,3075707724689553.5,7384960036948375.0
8.368421052631579,1.3000000000000003,3111148423556090.5,8094463711710337.0
9.105263157894736,1.3000000000000003,3142693005524491.0,8803348522243346.0
9.842105263157894,1.3000000000000003,3168505430425148.0,9511615015407972.0
10.578947368421051,1.3000000000000003,3189632617541277.0,1.0219263739135226e+16
11.31578947368421,1.3000000000000003,3206689075505604.5,1.0926295242332316e+16
12.052631578947368,1.3000000000000003,3220032877458137.0,1.1632710074791268e+16
12.789473684210526,1.3000000000000003,3226469963138943.0,1.233850878710038e+16
13.526315789473683,1.3000000000000003,3218261087541300.0,1.3043691930558434e+16
14.26315789473684,1.3000000000000003,3196643103906733.0,1.3748260057091618e+16
15.0,1.3000000000000003,3165773947968553.0,1.4452213719173074e+16
1.0,1.4000000000000001,979055727986204.4,1046218386702029.0
1.736842105263158,1.4000000000000001,1524459068198566.5,1816323746835612.8
2.473684210526316,1.4000000000000001,1939295824191423.2,2585757407689695.5
3.2105263157894735,1.4000000000000001,2367817869815264.5,3354519942708060.5
3.9473684210526314,1.4000000000000001,2666524506239361.0,4122611927550123.0
4.684210526315789,1.4000000000000001,2877274332244825.0,4890033939958786.0
5.421052631578947,1.4000000000000001,3025460095083976.0,5656786559631941.0
6.157894736842105,1.4000000000000001,3083102300695571.5,6422870368097601.0
6.894736842105263,1.4000000000000001,3096744750910747.5,7188285948592533.0
7.63157894736842,1.4000000000000001,3135242206230242.5,7953033885944403.0
8.368421052631579,1.4000000000000001,3173117633488921.5,8717114766457288.0
9.105263157894736,1.4000000000000001,3205451220654903.0,9480529177800526.0
9.842105263157894,1.4000000000000001,3231766205394378.5,1.0243277708900896e+16
10.578947368421051,1.4000000000000001,3252933710445273.0,1.1005360949837936e+16
11.31578947368421,1.4000000000000001,3269841445175384.5,1.1766779491742496e+16
12.052631578947368,1.4000000000000001,3280771111622733.5,1.252753392669829e+16
12.789473684210526,1.4000000000000001,3278121523612874.5,1.3287624847646564e+16
13.526315789473683,1.4000000000000001,3259893940660518.5,1.4047052848293698e+16
14.26315789473684,1.4000000000000001,3231140162196130.5,1.4805818523021742e+16
15.0,1.4000000000000001,3195329144291287.0,1.5563922466801772e+16
1.0,1.5,966859846166174.8,1120948271466459.5
1.736842105263158,1.5,1558905178046408.0,1946061157323870.8
2.473684210526316,1.5,1993739686767597.0,2770454365381816.5
3.2105263157894735,1.5,2404484141348328.0,3594128510044350.5
3.9473684210526314,1.5,2695896358820553.0,4417084208089417.0
4.684210526315789,1.5,2901349949771805.5,5239322078527271.0
5.421052631578947,1.5,3047929501771224.0,6060842742462794.0
6.157894736842105,1.5,3092446050066585.5,6881646822961714.0
6.894736842105263,1.5,3132441194742545.5,7701734944920571.0
7.63157894736842,1.5,3177106818182283.5,8521107734940432.0
8.368421052631579,1.5,3216755435229237.5,9339765821204236.0
9.105263157894736,1.5,3250115602709204.0,1.0157709833357706e+16
9.842105263157894,1.5,3277034121668892.0,1.0974940402393816e+16
10.578947368421051,1.5,3298795643823038.0,1.1791458160540646e+16
11.31578947368421,1.5,3315205899726719.0,1.2607263741152672e+16
12.052631578947368,1.5,3320682882650404.5,1.3422357778605308e+16
12.789473684210526,1.5,3309372594428971.0,1.4236740908192746e+16
13.526315789473683,1.5,3285058032715724.0,1.5050413766028962e+16
14.26315789473684,1.5,3251158145632492.0,1.5863376988951864e+16
15.0,1.5,3211724428713927.5,1.667563121443047e+16
1.0,1.6,973415835027934.8,1195678156230890.0
1.736842105263158,1.6,1510696049186605.2,2075798567812128.5
2.473684210526316,1.6,1995834018079924.0,2955151323073937.5
3.2105263157894735,1.6,2424697173300789.5,3833737077380639.5
3.9473684210526314,1.6,2700055685094730.5,4711556488628711.0
4.684210526315789,1.6,2902832569190534.0,5588610217095755.0
5.421052631578947,1.6,3046893891713169.0,6464898925293646.0
6.157894736842105,1.6,3103624281178891.5,7340423277825827.0
6.894736842105263,1.6,3157278043365188.0,8215183941248609.0
7.63157894736842,1.6,3206471380168751.5,9089181583936460.0
8.368421052631579,1.6,3248334810569781.5,9962416875951184.0
9.105263157894736,1.6,3282699266699513.0,1.0834890488914884e+16
9.842105263157894,1.6,3310742995123998.0,1.1706603095886734e+16
10.578947368421051,1.6,3332762462780422.0,1.2577555371243354e+16
11.31578947368421,1.6,3347070850936996.0,1.3447747990562846e+16
12.052631578947368,1.6,3344953288971846.5,1.4317181630512326e+16
12.789473684210526,1.6,3327434784703897.5,1.5185856968738926e+16
13.526315789473683,1.6,3298508004745082.0,1.6053774683764222e+16
14.26315789473684,1.6,3262074022004970.5,1.6920935454881988e+16
15.0,1.6,3219638175255075.5,1.7787339962059164e+16
1.0,1.7000000000000002,953037080014158.5,1270408040995320.8
1.736842105263158,1.7000000000000002,1631654340076969.5,2205535978300386.8
2.473684210526316,1.7000000000000002,2024608934915325.0,3139848280766059.0
3.2105263157894735,1.7000000000000002,2435617013740156.0,4073345644716929.5
3.9473684210526314,1.7000000000000002,2693188433806309.0,5006028769168006.0
4.684210526315789,1.7000000000000002,2888330461306220.5,5937898355664240.0
5.421052631578947,1.7000000000000002,3031703637382430.0,6868955108124500.0
