"GDD, fs^2","FoOD, fs^4","Simulated Angular Frequency Width, /s"
700.0000000000001,-28526.315789473683,237988112616205.78
700.0000000000001,-19157.894736842107,238112001288333.78
700.0000000000001,-9789.473684210529,238346247872290.03
700.0000000000001,-421.0526315789487,238715109054156.53
700.0000000000001,8947.36842105263,237865649425564.56
700.0000000000001,18315.78947368421,237788266288474.4
700.0000000000001,27684.21052631578,237726900769942.22
700.0000000000001,37052.63157894737,237670145838993.56
700.0000000000001,46421.05263157894,237610326098092.03
700.0000000000001,55789.47368421053,237537764502119.72
700.0000000000001,65157.8947368421,237449275607023.22
700.0000000000001,74526.31578947368,237341062132505.12
700.0000000000001,83894.73684210527,237213845984613.6
700.0000000000001,93263.15789473684,237069225594995.25
700.0000000000001,102631.5789473684,236913408406816.0
700.0000000000001,111999.99999999999,236753715828238.75
